,date,content,n_repost,n_like,n_comment,id,city,influency
122244,2024-01-01,宝贝们新年快乐！！！！！！！ ​​​,20,2783,579,WNS_WeNeedBTS, 中国香港,3382
23847,2024-01-30,"#朴志晟[超话]#🐹#朴志晟#✨#朴志晟0205生日快乐# 
【超̲话̲冲̲热̲度̲】1.30
具体见🍎

“一直不要遗失初心，卯足精神！偶尔回头看看，望着前方奔跑吧”
                                                      ——朴志晟 ​​​",81,1909,1358,Vanyar_with朴志晟, 中国香港,3348
21783,2024-01-30,"#申有娜[超话]# 🌸#申有娜樱桃软糖# 
【240130】itzy.all.in.us更新有娜相关 

美好的一天❣️ ​​​",448,2801,70,申有娜YUNA_Channe1, 中国香港,3319
137708,2024-01-01,"奇门君送上2024新年开好运，在微博转发留言你的心愿，可得奇门加持🧧加速愿望显化。愿望实现了记得回来还愿，让大家感受提升正气场。

吉时：上午9:31-10:31
吉方：西方

在以上吉时吉方坐着30分鐘，静心许愿，想想2024年自己想成为什么样的人，并据此许下你的新年愿望，例如：考试合格、感情畅顺、 ​​​",336,2086,847,奇门君, 中国香港,3269
14051,2024-01-30,"奇门加持！迎取今天的好运！
周二小吉吉，把握时机做好事。今晚再来年运班讲课，教如何每天提升好运，不过群裡同學互动都很發財啊[嘻嘻]

留下金句：合理心愿+ 领悟升运 🎊

8秒内转发，大家都财丁兴隆，正缘结伴！修心修德种善因，天佑家人福护荫
—————————
阳历2024年1月30日
农历十二月 ​​​",131,2377,750,奇门君, 中国香港,3258
21667,2024-01-30,"哦莫
这看起来是办公室的🚾…… ​​​",170,2895,153,婉司姬, 中国香港,3218
24519,2024-01-30,"张天爱新剧定档
报！这部真抬上来了！！
1月31日！ ！ 明天播！！！ 

（女强剧 女主CP线有男有女） ​​​",358,2624,224,婉司姬, 中国香港,3206
21742,2024-01-30,"#刘宇宁微博直播king# 
宁哥还记得你在直播间秀过的2021微博King奖杯吗？记得你说过的想要三连冠吗？现在2022～2023份已经送到，是不是考虑开个播跟朋友们共同庆祝一下[开学季]@摩登兄弟刘宇宁 http://t.cn/A6jlhwu8 ​​​",252,2592,233,飛雲之下那個他, 中国香港,3077
126407,2024-01-01,"#摩登兄弟[超话]# 
我真的是服了我自己都在喊什么啊哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈完全忘记在录视频了看到伴舞老师靠上去那一下醋坛子翻啦😂
@摩登兄弟刘宇宁 
#刘宇宁哭了# http://t.cn/A6lmT1fI ​​​",130,2723,147,做个快乐冠军呀, 中国香港,3000
21923,2024-01-30,"#原来吃得好是这个意思#
我们不止吃得好！！
还吃得非常饱！！！
'就这张图！！我迷糊了好几天！！！
@MIC檀健次JC-T 
#檀健次新年给粉丝疯狂加菜# ​​​",251,2410,308,多多柒_kiki, 中国香港,2969
132959,2024-01-01,"#黄铉辰# hhj #黄铉辰范思哲全球品牌代言人# 
240101「图片」 铉辰相关

官推更新 新年快乐

铉辰个人ɪɴs 🆔：hynjinnnn
羊毛围巾生日特典🧣http://t.cn/A6lMDpq7
旅行Set生日特典✈️ http://t.cn/A6l9VlRL
JinMart🐰http://t.cn/A6WUDMts
辰首招新5.0💗 http://t.cn/A6piqgvY
直拍汇总🕺 ​",354,2417,170,黄铉辰Hyunjin_HJsouL, 中国香港,2941
71377,2024-01-01,"新年快乐大家！
凯瑞小朋友三岁生日快乐🎂🎊 ​​​ http://t.cn/A6lmO7gh http://t.cn/A6lmO7gU",89,2476,169,牛奶酥酥玖饼, 中国香港,2734
22002,2024-01-30,"#gidle组合[超话]#[爱你]#gidle新歌上线# 
【彼得潘数据】
iTunes专辑榜 获23个国家/地区一位

其中美国🇺🇸iTunes专辑榜排名第一(自身第1️⃣张专辑) ​​​",81,2493,84,GIDLE_PeterPan, 中国香港,2658
21751,2024-01-30,"#twins[超话]# 
01/29 雙失情人節💔💔 http://t.cn/A6j0mpjW ​​​",653,1738,230,不知道欸xx, 中国香港,2621
95327,2024-01-01,"奇门加持！迎取今天的好运！
周一元旦要有特别开运，日子没什么好做，还是静思，以及升运开个好年！[鮮花]

留下金句：合理心愿+ 领悟升运 🎊

8秒内转发，大家都财丁兴隆，正缘结伴！修心修德种善因，天佑家人福护荫
—————————
阳历2024年1月1日
农历十一月二十
相冲：马
———————— ​​​",152,1863,586,奇门君, 中国香港,2601
21658,2024-01-30,"#sa娇[超话]# ｜#twinsspirit22演唱会# 
【1.29 相爱22年年】
sa嗓子使用过度已经比较严重了，唱‘相爱六年’时已经不太唱得出来 娇一次又一次转头查看对方状态 两人互相打气，手紧紧攥着对方 娇时不时帮sa唱她的部分 这种氛围，这种感情 互相扶持互相照顾已经走过了22年 谁说组合不好单飞更好呀 身边 ​​​",260,2144,161,冰冰妹子, 中国香港,2565
22196,2024-01-30,"#自汉化##다크폴# 

dark fall 56

进修回来的内加尔使用甜言蜜语魔法攻击，结果被里昂吐槽他是不是脑子抽了（精神污染）[笑cry][笑cry][笑cry]

⚠️：别惹老攻，特别是饿了很久的老攻[干饭人][干饭人][干饭人]（一个💋就变得湿答答了[并不简单][并不简单][并不简单]）

最后眼神不对劲[二哈]会不会 ​​​",4,2243,299,momo_卷卷卷, 中国香港,2546
7517,2024-01-30,tg 以前是真的好感过你 我一个初中生也因为迷你二站子放肆宣传花过一点钱 因为学业为重后面也没有时间追 迷你三发现对你也淡了 现在看来以前为你付出的金钱和时间就像笑话一样 辜负真心的人要吞一千根针 只花过一点小钱 实在没钱 希望不要骂我 ​​​,4,2436,102,脱粉回踩救钱包, 中国香港,2542
81028,2024-01-01,"#李宇春第19年跨年零点秀##李宇春[超话]# 
来看美女整理着装[喵喵] http://t.cn/A6lmWrtx ​​​",557,1799,152,王王王多多, 中国香港,2508
22169,2024-01-30,"#龚俊安乐传# gj#龚俊韩烨# 

【预告】龚俊安乐传将于2024.2.5起
 在韩国AsiaN/A+Drama/AsiaUHD进行放送，晚上8点连播两集（周一至周四）

 @龚俊Simon #龚俊# ​​​",366,1836,306,HAPPYJUN丨龚俊百宝箱, 中国香港,2508
21850,2024-01-30,"20240130下训

等到阳光@孙颖莎 
#孙颖莎# 

🈲all ​​​",410,1791,306,SoAs1104, 中国香港,2507
3613,2024-01-30,"#刘宇全能艺人# 💙#刘宇国风美少年# 

𝟮𝟬𝟮𝟰𝟬𝟭𝟮𝟳 || 《十方艺念》签售会·上海站 𝐏𝐭.𝟏

千般倜傥，万般风措
且教锦绣探春风

@刘宇Yu_ ​​​",364,1799,276,刘宇官方后援会, 中国香港,2439
25285,2024-01-30,tg 脱兔团 ​​​,27,2220,164,脱粉回踩救钱包, 中国香港,2411
24463,2024-01-30,"咒术回战手游最新cut～五条悟百万直拍分享[耶]
#咒术回战##五条悟# #二次元云过年# ​​​ http://t.cn/A6jW7n6J #咒术回战[超话]#",594,1722,74,被选召的大人, 中国香港,2390
21945,2024-01-30,"#梁祯元[超话]# 0129 澳门🇲🇴凌晨偶遇存档 
回酒店路上在马路对面看到和你一样的蓝色毛衣 一直在和朋友猜是不是你 朋友穿的秀荷校服 所以刚刚看视频发现元原来在马路对面的时候看了我们好久 宝宝是和好多staff一起出来散步的 他和我们打招呼的时候说了谢谢 特别特别可爱 走远了还一直在打招呼 直 ​​​",446,1804,59,煮鍋小豬鱔魚湯, 中国香港,2309
59699,2024-01-01,"羽生结弦在自己的官推投稿了message：2024年我也会拼命努力！拜托大家了！
希望对粉丝的各位，以及周围的各位，有更多的幸福可以到来！
视频：2023年，我得到了大家的许多支持，令我非常开心。谢谢大家！希望2024年对于大家来说是得到许多幸福的一年
羽生结弦#羽生结弦# http://t.cn/A6lmOtGw ​​​",545,1510,130,LightofHope_羽生结弦, 中国香港,2185
22201,2024-01-30,"#奉天承芸[超话]# 

[笑而不语][笑而不语][笑而不语] 又幸福了姐[鲜花] [偷笑][偷笑][偷笑] ​​​",338,1685,158,47noirscent, 中国香港,2181
23900,2024-01-30,如果一个商品的价格，涨了会出问题，跌了也会出问题，那么这个商品的价格最后将会怎样？请留言回答。 ​​​,139,1396,583,洪灝的宏观策略, 中国香港,2118
21908,2024-01-30,"#朴成训[超话]#❄️#朴成训绝美门面# 
【wvs】 240130 成训直播cut

🐧：手有22厘米，手很大吧kk，有人说我的手好可爱。为什么可爱呢？其实我觉得我的手并不可爱…这样啊kkk~

cr.2ee_da

❄️生日汇总：http://t.cn/A6WemMZ5
🎐安利手册：http://t.cn/A6lkTIcU
🩵亚巡应援： ​​​",408,1594,70,朴成训_Snowland, 中国香港,2072
21594,2024-01-30,"實踐力

如果對自己擁有的知識充滿信心，
最適宜是找尋一個實踐的機會，
因為不去將知識實踐，
就沒法知道自己真正的實力，
更別說讓其他人去了解自己。 ​​​",105,1567,323,古天乐, 中国香港,1995
21842,2024-01-30,"🎞️｜你的黄金时代

#王鹤棣##大奉打更人##王鹤棣大奉打更人##王鹤棣许七安# ​​​",510,1041,424,猪包不做梦, 中国香港,1975
14355,2024-01-30,"【《基本法》第二十三条立法公众咨询展开】

我今早主持记者会向公众宣布，政府即日起（1月30日）展开《基本法》第二十三条立法的公众咨询，并将于今天下午向立法会作详细介绍。我们建议订立一条全新的《维护国家安全条例》，以全面应对香港特区现在或未来可能出现的国家安全风险，以及全面落实《5.28 ​​​",104,1590,225,李家超, 中国香港,1919
113288,2024-01-01,奉上山顶现场版。老叶说这像不像宁远舟杀青宴。挺像的，2023最后一天，告别宁远舟，我们陪你，开启新旅程。@摩登兄弟刘宇宁 http://t.cn/A6lmlC4F #刘宇宁奉上梦回一念关山#  | #刘宇宁哭了# ​​​,129,1690,96,滤盐糖罐, 中国香港,1915
3593,2024-01-30,"#杨幂离开嘉行可以接到自己想拍的戏##杨幂回应三亿对赌传闻# 再怎么想撇清，杨幂和嘉行都注定是曾经拆不开的密切缠绕。上一个十年里的结婚生子、公司对赌，太多历史风波都写进了内娱历史书，一起创造了多少的话题和成绩，分家都分不清的。

也不单是内娱前十年，现在回头看太多内娱韩娱好莱坞前二十年 ​​​",578,743,583,艺能界研究中心, 中国香港,1904
21760,2024-01-30,"有的人不想让东北旅游火起来，
因为顺便让731的事迹又火起来了（火到国际上）

同样的，有的人看见别人穿明朝服装就害怕，
因为倭寇在当时洗劫沿海地区，杀人放火无恶不作

而明军难得地没有懒得理，而是剿匪到底
这段对倭寇不光彩的历史被翻出来了可还行？[二哈] ​​​",71,1777,30,摘日者, 中国香港,1878
