,date,content,n_repost,n_like,n_comment,id,city,influency
6281,2024-01-30,"#梁祯元[超话]# 
和祯元像fate一样偶遇了。。
和朋友从半岛溜达回来在路上乱走 回来的时候我开玩笑说 如果回到巴黎人的铁塔下 小符符在那拍tiktok的话 那我们之间真的是Fate了….
真圆真的很爱恩静 因为真圆会变得很幸福… 告诉他一定要再来中国，中国恩静很爱他 中国恩静会等他再来的[泪][泪][泪]  ​​​",894,2380,63,西村刀刀zoeii, 中国澳门,3337
70231,2024-01-01,转发微博,3312,0,0,她真的好好啊, 中国澳门,3312
6551,2024-01-30,//@源哥的袜子比榴莲还香:#王源2024龙行绛气# @源代码_SourceCode:#王源高远追光的日子# #王源电视剧追光的日子# #王源[超话]#@TFBOYS-王源,3230,0,0,半巷鱼影, 中国澳门,3230
6238,2024-01-30,"跟婉聊着聊着又聊到了以前…口罩时期我们还在说什么时候能一起去看他，没想到如今才终于实现，还好我们都还在很喜欢着他！
我昨天还问🍋姐“姐，你有想过吗，当初看岛的时候有想过他会发展到现在这样吗，有那么多粉丝来看他的演唱会” 
我是真的没想到过，也不敢想。当初真的好少好少人知道他啊，担 ​​​ http://t.cn/A6j0aBtX http://t.cn/A6j0aBtN http://t.cn/A6j0aBt8 http://t.cn/A6j0aBt3 http://t.cn/A6j0aBtk",268,2755,162,希腊酸奶味, 中国澳门,3185
42494,2024-01-31,//@小狗笨语_://@次声动力://@Eternally_奈绪昂初://@莓野川://@椿川聆舟://@一米八的饺子://@神经病统治世界-://@圈圈框框_轴外航线ang://@无敌小羊冻://@杏落逢冬舟://@骨折不用石膏:#左航 视觉门面center# [心]#左航 人间治愈精灵#,2983,0,0,懒猫诗信, 中国澳门,2983
22882,2024-01-01,新年快樂克拉們!!!🎉🎉🎉 2024年會更幸福和充滿好事的!!! 真的很愛你們 希望克拉們的愿望都能實現❤️❤❤ ​​​,495,2316,144,Josyukkk, 中国澳门,2955
22924,2024-01-01,"#王源[超话]##江苏卫视跨年# 
「夜空中最亮的星」直拍FOCUS
/越过谎言去拥抱你
@TFBOYS-王源 http://t.cn/A6lm8fZK ​​​",588,2052,273,EncounteRoy遇见丨王源, 中国澳门,2913
65508,2024-01-01,贺峻霖新年快乐💚#贺峻霖2024 霖声漫漫扬四海#,2834,1,3,樱屿皓川, 中国澳门,2838
6302,2024-01-30,【】最想看谁和谁演耽改或者麦麸 ​​​,82,2506,216,青菜炒泥蛋, 中国澳门,2804
91316,2024-01-01,#邓佳鑫 三代第一vocal# 宝宝新年快乐！新的一年祝你天天开心，学业事业順利，事事都順心[爱慕] @TF家族-邓佳鑫,2800,0,0,嘠嘠小鴨子, 中国澳门,2800
4427,2024-01-01,"谁懂在跨年的时刻看到这7秒的震撼啊[泪]
#李宇春第19年跨年零点秀# http://t.cn/A6lmpQlg ​​​",468,2097,144,王王王多多, 中国澳门,2709
2347,2024-01-30,【】这么看七个神将来谁有统治古偶的潜力 ​,236,1958,462,青菜炒泥蛋, 中国澳门,2656
79772,2024-01-01,#王俊凯[超话]# #王俊凯心引力舞台好甜# 应五宝要求来发心引力直拍[开学季]，像洋娃娃啊小凯🥺#11个王俊凯#  http://t.cn/A6luIvqd http://t.cn/A6NSDuuL ​​​,761,1688,188,好运小狗发财中, 中国澳门,2637
10750,2024-01-30,【】视/觉中/国的生图状态怎么🍎 ​​​,26,2358,231,青菜炒泥蛋, 中国澳门,2615
41004,2024-01-01,哥哥有点懵 http://t.cn/A6lmBy8W ​​​,206,2342,58,想改名很久了xi, 中国澳门,2606
1480,2024-01-01,"#王源[超话]##王源跳舞好撩##新年快乐# 
小源舞台换衣服很撩[送花花][送花花] http://t.cn/A6lm0WN9 ​​​",157,2382,59,第一可爱源1108, 中国澳门,2598
79728,2024-01-01,"#赫海[超话]# 24.01.01 D&E官方更新：
🎊HAPPY NEW YEAR🎊 ​​​",734,1705,143,掌心witheunhae, 中国澳门,2582
117715,2024-01-01,"抽簽但也笑自己手氣的耶耶😂

. http://t.cn/A6l3ARFx ​​​",251,2250,63,我是一隻小小小小昀, 中国澳门,2564
30279,2024-01-01,"#摩登兄弟[超话]# 
宁远舟上台那一刻真的疯了！！！看到高马尾跟官服！！！！！啊啊啊啊啊啊我也亲眼看到宁远舟的官服了[泪][泪][泪][泪][泪]@摩登兄弟刘宇宁 #刘宇宁哭了# http://t.cn/A6lmmq4g ​​​",109,2387,48,做个快乐冠军呀, 中国澳门,2544
